192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/dist/js/sb-admin-2.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/js/morris-data.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/dist/css/timeline.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/morrisjs/morris.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/dist/css/sb-admin-2.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/js/morris-data.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:12 +0530] "GET /HeUI/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:13 +0530] "GET /HeUI/bower_components/morrisjs/morris.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:13 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:13 +0530] "GET /HeUI/dist/js/sb-admin-2.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:13 +0530] "GET /HeUI/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/index.html HTTP/1.1" 200 5250
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/morrisjs/morris.css HTTP/1.1" 200 433
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/dist/css/sb-admin-2.css HTTP/1.1" 200 5593
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/dist/css/timeline.css HTTP/1.1" 200 3423
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 117150
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 35452
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 84355
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/morrisjs/morris.min.js HTTP/1.1" 200 35652
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/raphael/raphael-min.js HTTP/1.1" 200 91386
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/js/morris-data.js HTTP/1.1" 200 2532
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/dist/js/sb-admin-2.js HTTP/1.1" 200 1181
192.168.1.10 - - [31/Jan/2015:08:25:14 +0530] "GET /HeUI/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
